Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame
0.0025799274,20,15,0.0083069801,0,21,0.0042419434,0,21,0.0012040138,0,1,0.0031309128,51,13,0.0096440315,44,19,0.0085299015,21,19,0.0025639534,42,0,0.0052490234,36,AnalysisData/frame1845.jpg
0.003029108,35,19,0.0055711269,0,28,0.0046069622,0,31,0.0011889935,0,9,0.0035710335,62,28,0.0128359795,109,31,0.0082480907,66,32,0.0017459393,120,1,0.0053400993,11,AnalysisData/frame1508.jpg
0.0026040077,18,23,0.0055608749,0,17,0.0044488907,0,18,0.0011770725,0,0,0.003921032,67,15,0.0093829632,90,9,0.0086500645,48,9,0.0017170906,87,0,0.0061910152,34,AnalysisData/frame2014.jpg
0.0026681423,18,16,0.0053470135,0,15,0.0041921139,0,16,0.0011968613,0,2,0.0036680698,36,16,0.0096149445,45,16,0.00791502,20,16,0.0014300346,39,0,0.0049490929,32,AnalysisData/frame734.jpg
0.0029160976,18,3,0.0084860325,0,9,0.0042130947,0,13,0.0011379719,0,2,0.0036039352,23,12,0.0048229694,74,7,0.0076670647,60,7,0.0017149448,89,0,0.0051839352,28,AnalysisData/frame3091.jpg
0.0025570393,15,13,0.0049850941,0,13,0.0035448074,0,13,0.001157999,0,1,0.0034089088,32,18,0.0096170902,24,12,0.0078430176,8,12,0.0017809868,18,1,0.0049989223,27,AnalysisData/frame793.jpg
0.0021359921,21,17,0.0057928562,0,24,0.0042049885,0,25,0.0012052059,0,3,0.005136013,42,23,0.0091860294,79,20,0.007848978,37,20,0.0018868446,72,0,0.0050990582,26,AnalysisData/frame55.jpg
0.0031778812,25,14,0.0059428215,0,21,0.0039160252,0,21,0.0011560917,0,1,0.0029559135,47,19,0.0097751617,83,18,0.0083601475,41,18,0.0017158985,76,0,0.0047898293,15,AnalysisData/frame1061.jpg
0.002671957,13,11,0.0056550503,0,22,0.0042090416,0,20,0.0011870861,0,2,0.0033340454,15,28,0.0099959373,55,21,0.0079109669,100,21,0.001737833,163,0,0.0053339005,39,AnalysisData/frame1215.jpg
0.0026910305,16,17,0.0054349899,0,17,0.0042879581,0,18,0.0008399487,0,1,0.0032091141,52,22,0.0096988678,85,19,0.0078279972,49,19,0.0016629696,89,0,0.0055038929,26,AnalysisData/frame1582.jpg
0.0030319691,24,23,0.0055088997,0,26,0.0046269894,0,26,0.0011811256,0,0,0.0031499863,77,31,0.0098161697,63,18,0.0080299377,34,18,0.0017559528,51,0,0.0054471493,52,AnalysisData/frame1896.jpg
0.0026199818,13,6,0.0053780079,0,10,0.0043649673,0,11,0.00116992,0,0,0.0034821033,29,8,0.0094671249,14,10,0.0076770782,4,10,0.001942873,5,0,0.00496912,13,AnalysisData/frame713.jpg
0.0027179718,23,7,0.0049550533,0,16,0.0046420097,0,16,0.0011501312,0,1,0.0036180019,25,16,0.0096800327,94,27,0.0087990761,105,27,0.0017721653,140,0,0.0047078133,28,AnalysisData/frame2666.jpg
