Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Frame

0.0032320022583007812,0,0,0.005969047546386719,0,0,0.0046961307525634766,0,0,0.0015518665313720703,0,0,0.0038008689880371094,0,0,0.009307861328125,0,0,0.007363080978393555,0,0,0.0018148422241210938,0,0,AnalysisData/frame2240.jpg
0.0024499893188476562,0,0,0.0057239532470703125,0,0,0.004272937774658203,0,0,0.0012750625610351562,0,0,0.004292964935302734,0,0,0.009064912796020508,0,0,0.007998943328857422,0,0,0.0019600391387939453,0,0,AnalysisData/frame682.jpg
0.0023949146270751953,0,0,0.005596160888671875,0,0,0.004274129867553711,0,0,0.001268148422241211,0,0,0.003599882125854492,0,0,0.010157108306884766,0,0,0.008040189743041992,0,0,0.001744985580444336,0,0,AnalysisData/frame1133.jpg
0.002395153045654297,0,0,0.0055429935455322266,2,1,0.0043811798095703125,0,0,0.0012989044189453125,0,0,0.003718137741088867,0,0,0.009742021560668945,1,1,0.0077321529388427734,0,0,0.0018110275268554688,0,0,AnalysisData/frame1970.jpg
0.0028722286224365234,0,0,0.0052258968353271484,0,0,0.0050280094146728516,0,0,0.0012619495391845703,0,0,0.0041120052337646484,0,0,0.01002192497253418,0,0,0.007548093795776367,0,0,0.0018050670623779297,0,0,AnalysisData/frame1901.jpg
0.0029327869415283203,0,0,0.004979133605957031,1,1,0.003834962844848633,0,1,0.0012428760528564453,0,0,0.00398707389831543,0,0,0.009421110153198242,1,0,0.007886886596679688,0,0,0.001875162124633789,0,0,AnalysisData/frame2304.jpg
0.0029129981994628906,0,0,0.005400180816650391,0,0,0.004377126693725586,0,0,0.001260995864868164,0,0,0.0039000511169433594,0,0,0.009615182876586914,0,0,0.007750034332275391,0,0,0.0025398731231689453,0,0,AnalysisData/frame1214.jpg
0.0027348995208740234,0,0,0.0056269168853759766,0,0,0.0041921138763427734,0,0,0.001194000244140625,0,0,0.003718137741088867,0,0,0.0092620849609375,0,0,0.007436990737915039,0,0,0.0018529891967773438,0,0,AnalysisData/frame2844.jpg
0.004323005676269531,0,0,0.005474090576171875,0,0,0.004446983337402344,0,0,0.0012710094451904297,0,0,0.0036580562591552734,0,0,0.009186029434204102,0,0,0.007921934127807617,0,0,0.0023229122161865234,0,0,AnalysisData/frame1166.jpg
0.002855062484741211,0,0,0.005023956298828125,0,0,0.004553079605102539,0,0,0.0012769699096679688,0,0,0.004165172576904297,0,0,0.009810924530029297,0,0,0.008162975311279297,0,0,0.001789093017578125,0,0,AnalysisData/frame1439.jpg
