Goal Area,Time,Classification,Tag,Frame

[460 516 82 82],0.00282597541809,False,DoG_bhuman,AnalysisData/frame707.jpg
[460 516 82 82],0.00262713432312,False,DoG_Constrast,AnalysisData/frame707.jpg
[460 516 82 82],0.00100708007812,True,DoG_HoG,AnalysisData/frame707.jpg
[460 516 82 82],0.13684797287,True,DoG_CNN,AnalysisData/frame707.jpg
[885 148 49 49],0.0046329498291,False,DoG_bhuman,AnalysisData/frame707.jpg
[885 148 49 49],0.0197329521179,True,DoG_Constrast,AnalysisData/frame707.jpg
[885 148 49 49],0.00059986114502,False,DoG_HoG,AnalysisData/frame707.jpg
[885 148 49 49],0.0425570011139,True,DoG_CNN,AnalysisData/frame707.jpg
[434 140 34 34],0.000308036804199,False,DoG_bhuman,AnalysisData/frame707.jpg
[434 140 34 34],0.00302505493164,True,DoG_Constrast,AnalysisData/frame707.jpg
[434 140 34 34],0.000600814819336,False,DoG_HoG,AnalysisData/frame707.jpg
[434 140 34 34],0.0368559360504,False,DoG_CNN,AnalysisData/frame707.jpg
[460 517 81 81],0.00290298461914,False,Lap_bhuman,AnalysisData/frame707.jpg
[460 517 81 81],0.00265693664551,False,Lap_Constrast,AnalysisData/frame707.jpg
[460 517 81 81],0.000508069992065,True,Lap_HoG,AnalysisData/frame707.jpg
[460 517 81 81],0.0402071475983,True,Lap_CNN,AnalysisData/frame707.jpg
[892 155 35 35],0.000747919082642,False,Lap_bhuman,AnalysisData/frame707.jpg
[892 155 35 35],0.000710964202881,False,Lap_Constrast,AnalysisData/frame707.jpg
[892 155 35 35],0.000585794448853,False,Lap_HoG,AnalysisData/frame707.jpg
[892 155 35 35],0.0384719371796,False,Lap_CNN,AnalysisData/frame707.jpg
[440 147 21 21],0.000308990478516,False,Lap_bhuman,AnalysisData/frame707.jpg
[440 147 21 21],0.000231027603149,True,Lap_Constrast,AnalysisData/frame707.jpg
[440 147 21 21],0.000557899475098,False,Lap_HoG,AnalysisData/frame707.jpg
[440 147 21 21],0.0451409816742,False,Lap_CNN,AnalysisData/frame707.jpg
[450 378 62 62],0.00166201591492,False,DoG_bhuman,AnalysisData/frame2955.jpg
[450 378 62 62],0.00820398330688,True,DoG_Constrast,AnalysisData/frame2955.jpg
[450 378 62 62],0.000505924224854,False,DoG_HoG,AnalysisData/frame2955.jpg
[450 378 62 62],0.0472249984741,True,DoG_CNN,AnalysisData/frame2955.jpg
[484 355 84 84],0.00254607200623,True,DoG_bhuman,AnalysisData/frame2955.jpg
[484 355 84 84],0.032613992691,True,DoG_Constrast,AnalysisData/frame2955.jpg
[484 355 84 84],0.000524044036865,False,DoG_HoG,AnalysisData/frame2955.jpg
[484 355 84 84],0.0418879985809,False,DoG_CNN,AnalysisData/frame2955.jpg
[355 251 62 62],0.00122904777527,False,DoG_bhuman,AnalysisData/frame2955.jpg
[355 251 62 62],0.00117707252502,False,DoG_Constrast,AnalysisData/frame2955.jpg
[355 251 62 62],0.000591993331909,False,DoG_HoG,AnalysisData/frame2955.jpg
[355 251 62 62],0.042927980423,False,DoG_CNN,AnalysisData/frame2955.jpg
[323 251 66 66],3.31401824951e-05,False,DoG_bhuman,AnalysisData/frame2955.jpg
[323 251 66 66],1.50203704834e-05,False,DoG_Constrast,AnalysisData/frame2955.jpg
[323 251 66 66],0.000622034072876,False,DoG_HoG,AnalysisData/frame2955.jpg
[323 251 66 66],0.0386500358582,False,DoG_CNN,AnalysisData/frame2955.jpg
[541 389 40 40],0.00279712677002,True,DoG_bhuman,AnalysisData/frame2955.jpg
[541 389 40 40],0.0146670341492,True,DoG_Constrast,AnalysisData/frame2955.jpg
[541 389 40 40],0.000581026077271,True,DoG_HoG,AnalysisData/frame2955.jpg
[541 389 40 40],0.0438959598541,True,DoG_CNN,AnalysisData/frame2955.jpg
[448 316 55 55],0.0018470287323,False,DoG_bhuman,AnalysisData/frame2955.jpg
[448 316 55 55],0.0192651748657,True,DoG_Constrast,AnalysisData/frame2955.jpg
[448 316 55 55],0.000547170639038,False,DoG_HoG,AnalysisData/frame2955.jpg
