Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Vertical Field Gap with Dark Interior,Vertical Field Gap with Dark Interior_DoG,Vertical Field Gap with Dark Interior_Lap,Vertical Field Gaps,Vertical Field Gaps_DoG,Vertical Field Gaps_Lap,Frame

0.007992029190063477,8,8,0.00585484504699707,8,8,0.0046808719635009766,8,8,0.0013170242309570312,8,1,0.0058858394622802734,8,0,0.010088205337524414,8,0,0.007764101028442383,8,0,0.0017371177673339844,8,0,0.009241104125976562,2,4,0.006869792938232422,8,8,AnalysisData/frame2240.jpg
0.004720926284790039,2,6,0.005533933639526367,4,6,0.00457000732421875,5,5,0.001316070556640625,2,0,0.004216194152832031,8,0,0.009649991989135742,8,0,0.007436990737915039,8,0,0.0017168521881103516,8,0,0.00654292106628418,1,2,0.00665593147277832,3,5,AnalysisData/frame682.jpg
0.0055141448974609375,8,7,0.005454063415527344,8,8,0.004827976226806641,8,8,0.0012049674987792969,8,2,0.004846811294555664,8,0,0.009625911712646484,8,0,0.008095979690551758,8,0,0.00167083740234375,8,0,0.008671998977661133,6,8,0.006494998931884766,3,5,AnalysisData/frame1133.jpg
0.0030739307403564453,6,8,0.005576133728027344,8,4,0.0038480758666992188,8,4,0.0012371540069580078,8,0,0.004113912582397461,8,0,0.009567022323608398,8,0,0.0060160160064697266,8,0,0.0018949508666992188,8,0,0.006783008575439453,0,0,0.0067250728607177734,7,7,AnalysisData/frame1970.jpg
0.0030829906463623047,8,8,0.005455970764160156,8,4,0.005018949508666992,8,4,0.0013709068298339844,8,0,0.0038640499114990234,8,0,0.009869098663330078,8,0,0.008122920989990234,8,0,0.0017888545989990234,8,0,0.007288932800292969,0,0,0.007172107696533203,7,7,AnalysisData/frame1901.jpg
0.004042148590087891,8,8,0.005510091781616211,8,8,0.004644155502319336,8,8,0.0012440681457519531,8,2,0.00439000129699707,8,0,0.010164976119995117,8,0,0.008163928985595703,8,0,0.001898050308227539,8,0,0.007768154144287109,2,2,0.007211923599243164,5,6,AnalysisData/frame2304.jpg
0.0030870437622070312,8,8,0.007184028625488281,8,8,0.004601001739501953,8,8,0.0012669563293457031,8,0,0.004137992858886719,8,0,0.01148080825805664,8,0,0.007923126220703125,8,0,0.0017650127410888672,8,0,0.007315158843994141,0,1,0.007255077362060547,4,6,AnalysisData/frame1214.jpg
0.0042231082916259766,8,8,0.005012989044189453,8,5,0.0044651031494140625,7,7,0.001194000244140625,8,0,0.004033088684082031,8,0,0.009451866149902344,8,0,0.007998943328857422,8,0,0.0017371177673339844,8,0,0.0073430538177490234,1,5,0.006228923797607422,4,7,AnalysisData/frame2844.jpg
0.0030939579010009766,8,8,0.005976200103759766,8,8,0.004170894622802734,8,8,0.0013589859008789062,8,2,0.004132986068725586,8,0,0.00978994369506836,8,0,0.008067846298217773,8,0,0.001628875732421875,8,0,0.007292985916137695,2,4,0.006651163101196289,5,6,AnalysisData/frame1166.jpg
0.0030679702758789062,8,8,0.005209922790527344,8,8,0.004302024841308594,8,8,0.0012011528015136719,8,2,0.004296064376831055,8,0,0.010281085968017578,8,0,0.007951974868774414,8,0,0.0017189979553222656,8,0,0.00763702392578125,1,4,0.0066831111907958984,6,8,AnalysisData/frame1439.jpg
0.0030870437622070312,8,8,0.005760908126831055,8,8,0.004659891128540039,8,8,0.0012669563293457031,8,0,0.003966093063354492,8,0,0.009727954864501953,8,0,0.008104801177978516,8,0,0.0014870166778564453,8,0,0.0063669681549072266,0,0,0.006288051605224609,3,7,AnalysisData/frame2173.jpg
0.0030260086059570312,7,7,0.0052340030670166016,7,8,0.004527091979980469,8,8,0.0012159347534179688,7,0,0.0034308433532714844,8,0,0.0097808837890625,8,0,0.008090019226074219,8,0,0.0017480850219726562,8,0,0.007750988006591797,4,8,0.00686192512512207,7,7,AnalysisData/frame2713.jpg
0.0035431385040283203,8,8,0.0053899288177490234,8,5,0.0045621395111083984,8,5,0.0012400150299072266,8,0,0.0041768550872802734,8,0,0.011191129684448242,8,0,0.007831096649169922,8,0,0.0017099380493164062,8,0,0.0071489810943603516,1,1,0.0066640377044677734,5,8,AnalysisData/frame744.jpg
0.003545999526977539,8,8,0.005112886428833008,8,8,0.0044820308685302734,8,8,0.0012128353118896484,8,4,0.004170894622802734,8,0,0.011537790298461914,8,0,0.009391069412231445,8,0,0.001889944076538086,8,0,0.006719112396240234,3,3,0.006477832794189453,7,7,AnalysisData/frame1117.jpg
